ID	Texto	Tipo_Oracion	Subtipo	Nivel	N_Proposiciones	JSON_Compuesta	Activo	Tags_JSON	Notas_Internas
OC_9006	Intentamos arreglar la máquina entre todos, pero el motor sigue averiado todavía.	coordinada	adversativa	medio	2	{"schema_version":"1.2","id":"OC_9006","tipo_ejercicio":"compuesta","tipo_oracion":"coordinada","texto":"Intentamos arreglar la máquina entre todos, pero el motor sigue averiado todavía.","tokens":[{"i":0,"texto":"Intentamos","categoria":"verbo"},{"i":1,"texto":"arreglar","categoria":"verbo"},{"i":2,"texto":"la","categoria":"otro"},{"i":3,"texto":"máquina","categoria":"sustantivo"},{"i":4,"texto":"entre","categoria":"otro"},{"i":5,"texto":"todos","categoria":"pronombre"},{"i":6,"texto":",","categoria":"puntuacion"},{"i":7,"texto":"pero","categoria":"conjuncion"},{"i":8,"texto":"el","categoria":"otro"},{"i":9,"texto":"motor","categoria":"sustantivo"},{"i":10,"texto":"sigue","categoria":"verbo"},{"i":11,"texto":"averiado","categoria":"adjetivo"},{"i":12,"texto":"todavía","categoria":"adverbio"},{"i":13,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"Intentamos arreglar la máquina entre todos","indices":[0,1,2,3,4,5],"verbo":{"forma":"Intentamos","indice":0},"tipo":"coordinada","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"1","numero":"plural"},"predicado":{"tipo":"verbal","indices":[0]},"funciones":[{"tipo":"cd","indices":[1,2,3]},{"tipo":"cc","subtipo":"compania","indices":[4,5]}]}},{"id":"p2","texto":"el motor sigue averiado todavía","indices":[8,9,10,11,12],"verbo":{"forma":"sigue","indice":10},"tipo":"coordinada","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"lexico","indices":[8,9],"persona":"3","numero":"singular"},"predicado":{"tipo":"nominal","indices":[10]},"funciones":[{"tipo":"atributo","indices":[11]},{"tipo":"cc","subtipo":"tiempo","indices":[12]}]}}],"nexos":[{"id":"n1","forma":"pero","indices":[7],"categoria":"conjuncion","funcion_interna":null,"ambito":"interproposicional"}],"relaciones":[{"id":"r1","tipo":"coordinacion","subtipo":"adversativa","proposiciones":["p1","p2"],"nexo":"n1"}],"metadatos":{"nivel":"medio","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"El CD de la primera es un infinitivo ('arreglar la máquina'). En la segunda, 'sigue' + adjetivo es semicopulativo de permanencia."}}	Sí	{"tipo_oracion":"coordinada","subtipo":"adversativa","nivel":"medio","num_proposiciones":2,"nexos":["pero"]}	"arreglar la máquina" tratado como CD de infinitivo (no abre proposición nueva).
OC_9007	No saldremos a dar un paseo porque el día se ha puesto nublado de repente.	subordinada	causal	medio	2	{"schema_version":"1.2","id":"OC_9007","tipo_ejercicio":"compuesta","tipo_oracion":"subordinada","texto":"No saldremos a dar un paseo porque el día se ha puesto nublado de repente.","tokens":[{"i":0,"texto":"No","categoria":"adverbio"},{"i":1,"texto":"saldremos","categoria":"verbo"},{"i":2,"texto":"a","categoria":"otro"},{"i":3,"texto":"dar","categoria":"verbo"},{"i":4,"texto":"un","categoria":"otro"},{"i":5,"texto":"paseo","categoria":"sustantivo"},{"i":6,"texto":"porque","categoria":"conjuncion"},{"i":7,"texto":"el","categoria":"otro"},{"i":8,"texto":"día","categoria":"sustantivo"},{"i":9,"texto":"se","categoria":"pronombre"},{"i":10,"texto":"ha","categoria":"verbo"},{"i":11,"texto":"puesto","categoria":"verbo"},{"i":12,"texto":"nublado","categoria":"adjetivo"},{"i":13,"texto":"de","categoria":"otro"},{"i":14,"texto":"repente","categoria":"sustantivo"},{"i":15,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"No saldremos a dar un paseo","indices":[0,1,2,3,4,5],"verbo":{"forma":"saldremos","indice":1},"tipo":"principal","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"1","numero":"plural"},"predicado":{"tipo":"verbal","indices":[1]},"funciones":[{"tipo":"cc","subtipo":"finalidad","indices":[2,3,4,5]}]}},{"id":"p2","texto":"el día se ha puesto nublado de repente","indices":[7,8,9,10,11,12,13,14],"verbo":{"forma":"ha puesto","indice":11,"indices_perifrasis":[10,11]},"tipo":"subordinada","subtipo":"causal","funcion":"construccion_causal","estructura":"personal","analisis_interno":{"sujeto":{"tipo":"lexico","indices":[7,8],"persona":"3","numero":"singular"},"predicado":{"tipo":"nominal","indices":[10,11]},"funciones":[{"tipo":"atributo","indices":[12]},{"tipo":"cc","subtipo":"tiempo","indices":[13,14]}]}}],"nexos":[{"id":"n1","forma":"porque","indices":[6],"categoria":"conjuncion","funcion_interna":null,"ambito":"intra_proposicional"}],"relaciones":[{"id":"r1","tipo":"subordinacion","subtipo":"causal","proposiciones":["p1","p2"],"nexo":"n1","direccion":{"origen":"p1","destino":"p2"},"funcion":"construccion_causal"}],"metadatos":{"nivel":"medio","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"La causa (porque...) explica por qué no saldremos. Dentro, 'se ha puesto nublado' es semicopulativo de cambio."}}	Sí	{"tipo_oracion":"subordinada","subtipo":"causal","nivel":"medio","num_proposiciones":2,"nexos":["porque"]}	"a dar un paseo" tratado como CC Finalidad (verbo de movimiento "salir" + "a" + infinitivo).
OC_9008	Si te esfuerzas y estudias mucho este curso, te harás médico en el futuro.	mixta	condicional	avanzado	3	{"schema_version":"1.2","id":"OC_9008","tipo_ejercicio":"compuesta","tipo_oracion":"mixta","texto":"Si te esfuerzas y estudias mucho este curso, te harás médico en el futuro.","tokens":[{"i":0,"texto":"Si","categoria":"conjuncion"},{"i":1,"texto":"te","categoria":"pronombre"},{"i":2,"texto":"esfuerzas","categoria":"verbo"},{"i":3,"texto":"y","categoria":"conjuncion"},{"i":4,"texto":"estudias","categoria":"verbo"},{"i":5,"texto":"mucho","categoria":"adverbio"},{"i":6,"texto":"este","categoria":"otro"},{"i":7,"texto":"curso","categoria":"sustantivo"},{"i":8,"texto":",","categoria":"puntuacion"},{"i":9,"texto":"te","categoria":"pronombre"},{"i":10,"texto":"harás","categoria":"verbo"},{"i":11,"texto":"médico","categoria":"sustantivo"},{"i":12,"texto":"en","categoria":"otro"},{"i":13,"texto":"el","categoria":"otro"},{"i":14,"texto":"futuro","categoria":"sustantivo"},{"i":15,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"te esfuerzas","indices":[1,2],"verbo":{"forma":"esfuerzas","indice":2},"tipo":"subordinada","subtipo":"condicional","funcion":"construccion_condicional","estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"2","numero":"singular"},"predicado":{"tipo":"verbal","indices":[2]},"funciones":[]}},{"id":"p2","texto":"estudias mucho este curso","indices":[4,5,6,7],"verbo":{"forma":"estudias","indice":4},"tipo":"coordinada","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"2","numero":"singular"},"predicado":{"tipo":"verbal","indices":[4]},"funciones":[{"tipo":"cc","subtipo":"cantidad","indices":[5]},{"tipo":"cc","subtipo":"tiempo","indices":[6,7]}]}},{"id":"p3","texto":"te harás médico en el futuro","indices":[9,10,11,12,13,14],"verbo":{"forma":"harás","indice":10},"tipo":"principal","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"2","numero":"singular"},"predicado":{"tipo":"nominal","indices":[10]},"funciones":[{"tipo":"atributo","indices":[11]},{"tipo":"cc","subtipo":"tiempo","indices":[12,13,14]}]}}],"nexos":[{"id":"n1","forma":"Si","indices":[0],"categoria":"conjuncion","funcion_interna":null,"ambito":"intra_proposicional"},{"id":"n2","forma":"y","indices":[3],"categoria":"conjuncion","funcion_interna":null,"ambito":"interproposicional"}],"relaciones":[{"id":"r1","tipo":"coordinacion","subtipo":"copulativa","proposiciones":["p1","p2"],"nexo":"n2"},{"id":"r2","tipo":"subordinacion","subtipo":"condicional","proposiciones":["p3","p1"],"nexo":"n1","direccion":{"origen":"p3","destino":"p1"},"funcion":"construccion_condicional"}],"metadatos":{"nivel":"avanzado","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"Ojo: hay tres verbos y tres proposiciones. Dos de ellas ('te esfuerzas' y 'estudias mucho este curso') están coordinadas por 'y', y juntas forman la condición de la tercera. 'Te harás' es semicopulativo con Atributo nominal 'médico'."}}	Sí	{"tipo_oracion":"mixta","subtipo":"condicional","nivel":"avanzado","num_proposiciones":3,"nexos":["Si","y"]}	LA MÁS COMPLEJA DEL LOTE (mixta: coordinación anidada en subordinación condicional). Revisar antes de activarla en producción o dejarla solo para nivel avanzado.
OC_9009	Deseo de todo corazón que el negocio salga redondo para tu familia.	subordinada	sustantiva_cd	medio	2	{"schema_version":"1.2","id":"OC_9009","tipo_ejercicio":"compuesta","tipo_oracion":"subordinada","texto":"Deseo de todo corazón que el negocio salga redondo para tu familia.","tokens":[{"i":0,"texto":"Deseo","categoria":"verbo"},{"i":1,"texto":"de","categoria":"otro"},{"i":2,"texto":"todo","categoria":"otro"},{"i":3,"texto":"corazón","categoria":"sustantivo"},{"i":4,"texto":"que","categoria":"conjuncion"},{"i":5,"texto":"el","categoria":"otro"},{"i":6,"texto":"negocio","categoria":"sustantivo"},{"i":7,"texto":"salga","categoria":"verbo"},{"i":8,"texto":"redondo","categoria":"adjetivo"},{"i":9,"texto":"para","categoria":"otro"},{"i":10,"texto":"tu","categoria":"otro"},{"i":11,"texto":"familia","categoria":"sustantivo"},{"i":12,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"Deseo de todo corazón","indices":[0,1,2,3],"verbo":{"forma":"Deseo","indice":0},"tipo":"principal","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"1","numero":"singular"},"predicado":{"tipo":"verbal","indices":[0]},"funciones":[{"tipo":"cc","subtipo":"modo","indices":[1,2,3]},{"tipo":"cd","indices":[5,6,7,8,9,10,11]}]}},{"id":"p2","texto":"el negocio salga redondo para tu familia","indices":[5,6,7,8,9,10,11],"verbo":{"forma":"salga","indice":7},"tipo":"subordinada","subtipo":"sustantiva_cd","funcion":"cd","estructura":"personal","analisis_interno":{"sujeto":{"tipo":"lexico","indices":[5,6],"persona":"3","numero":"singular"},"predicado":{"tipo":"nominal","indices":[7]},"funciones":[{"tipo":"atributo","indices":[8]},{"tipo":"cc","subtipo":"beneficiario","indices":[9,10,11]}]}}],"nexos":[{"id":"n1","forma":"que","indices":[4],"categoria":"conjuncion","funcion_interna":null,"ambito":"intra_proposicional"}],"relaciones":[{"id":"r1","tipo":"subordinacion","subtipo":"sustantiva_cd","proposiciones":["p1","p2"],"nexo":"n1","direccion":{"origen":"p1","destino":"p2"},"funcion":"cd"}],"metadatos":{"nivel":"medio","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"El verbo de deseo ('Deseo') exige subjuntivo en la subordinada CD. Dentro, 'salga redondo' es semicopulativo — el mismo patrón que 'salió redondo', pero en subjuntivo."}}	Sí	{"tipo_oracion":"subordinada","subtipo":"sustantiva_cd","nivel":"medio","num_proposiciones":2,"nexos":["que"]}	Subjuntivo en la subordinada por verbo de deseo en la principal; el CD de P1 repite los índices completos de P2 (redundancia deliberada del schema).
OC_9010	Aunque se ve muy cansado tras el viaje, él no deja de trabajar ni un momento.	subordinada	concesiva	medio	2	{"schema_version":"1.2","id":"OC_9010","tipo_ejercicio":"compuesta","tipo_oracion":"subordinada","texto":"Aunque se ve muy cansado tras el viaje, él no deja de trabajar ni un momento.","tokens":[{"i":0,"texto":"Aunque","categoria":"conjuncion"},{"i":1,"texto":"se","categoria":"pronombre"},{"i":2,"texto":"ve","categoria":"verbo"},{"i":3,"texto":"muy","categoria":"adverbio"},{"i":4,"texto":"cansado","categoria":"adjetivo"},{"i":5,"texto":"tras","categoria":"otro"},{"i":6,"texto":"el","categoria":"otro"},{"i":7,"texto":"viaje","categoria":"sustantivo"},{"i":8,"texto":",","categoria":"puntuacion"},{"i":9,"texto":"él","categoria":"pronombre"},{"i":10,"texto":"no","categoria":"adverbio"},{"i":11,"texto":"deja","categoria":"verbo"},{"i":12,"texto":"de","categoria":"otro"},{"i":13,"texto":"trabajar","categoria":"verbo"},{"i":14,"texto":"ni","categoria":"otro"},{"i":15,"texto":"un","categoria":"otro"},{"i":16,"texto":"momento","categoria":"sustantivo"},{"i":17,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"se ve muy cansado tras el viaje","indices":[1,2,3,4,5,6,7],"verbo":{"forma":"ve","indice":2},"tipo":"subordinada","subtipo":"concesiva","funcion":"construccion_concesiva","estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"3","numero":"singular"},"predicado":{"tipo":"nominal","indices":[2]},"funciones":[{"tipo":"atributo","indices":[3,4]},{"tipo":"cc","subtipo":"tiempo","indices":[5,6,7]}]}},{"id":"p2","texto":"él no deja de trabajar ni un momento","indices":[9,10,11,12,13,14,15,16],"verbo":{"forma":"deja de trabajar","indice":13,"indices_perifrasis":[11,12,13]},"tipo":"principal","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"lexico","indices":[9],"persona":"3","numero":"singular"},"predicado":{"tipo":"verbal","indices":[11,12,13]},"funciones":[{"tipo":"cc","subtipo":"cantidad","indices":[14,15,16]}]}}],"nexos":[{"id":"n1","forma":"Aunque","indices":[0],"categoria":"conjuncion","funcion_interna":null,"ambito":"intra_proposicional"}],"relaciones":[{"id":"r1","tipo":"subordinacion","subtipo":"concesiva","proposiciones":["p2","p1"],"nexo":"n1","direccion":{"origen":"p2","destino":"p1"},"funcion":"construccion_concesiva"}],"metadatos":{"nivel":"medio","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"La concesiva va delante, pero la principal ('él no deja...') podría funcionar sola. 'Se ve' es semicopulativo de manifestación."}}	Sí	{"tipo_oracion":"subordinada","subtipo":"concesiva","nivel":"medio","num_proposiciones":2,"nexos":["Aunque"]}	Perífrasis "deja de trabajar" (terminativa negada); "ni un momento" como CC Cantidad.
OC_9011	Cuando escuché aquella noticia por la radio, me quedé atónito ante lo sucedido.	subordinada	temporal	medio	2	{"schema_version":"1.2","id":"OC_9011","tipo_ejercicio":"compuesta","tipo_oracion":"subordinada","texto":"Cuando escuché aquella noticia por la radio, me quedé atónito ante lo sucedido.","tokens":[{"i":0,"texto":"Cuando","categoria":"conjuncion"},{"i":1,"texto":"escuché","categoria":"verbo"},{"i":2,"texto":"aquella","categoria":"otro"},{"i":3,"texto":"noticia","categoria":"sustantivo"},{"i":4,"texto":"por","categoria":"otro"},{"i":5,"texto":"la","categoria":"otro"},{"i":6,"texto":"radio","categoria":"sustantivo"},{"i":7,"texto":",","categoria":"puntuacion"},{"i":8,"texto":"me","categoria":"pronombre"},{"i":9,"texto":"quedé","categoria":"verbo"},{"i":10,"texto":"atónito","categoria":"adjetivo"},{"i":11,"texto":"ante","categoria":"otro"},{"i":12,"texto":"lo","categoria":"otro"},{"i":13,"texto":"sucedido","categoria":"adjetivo"},{"i":14,"texto":".","categoria":"puntuacion"}],"proposiciones":[{"id":"p1","texto":"escuché aquella noticia por la radio","indices":[1,2,3,4,5,6],"verbo":{"forma":"escuché","indice":1},"tipo":"subordinada","subtipo":"temporal","funcion":"cc_temporal","estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"1","numero":"singular"},"predicado":{"tipo":"verbal","indices":[1]},"funciones":[{"tipo":"cd","indices":[2,3]},{"tipo":"cc","subtipo":"instrumento","indices":[4,5,6]}]}},{"id":"p2","texto":"me quedé atónito ante lo sucedido","indices":[8,9,10,11,12,13],"verbo":{"forma":"quedé","indice":9},"tipo":"principal","subtipo":null,"funcion":null,"estructura":"personal","analisis_interno":{"sujeto":{"tipo":"tacito","indices":[],"persona":"1","numero":"singular"},"predicado":{"tipo":"nominal","indices":[9]},"funciones":[{"tipo":"atributo","indices":[10,11,12,13]}]}}],"nexos":[{"id":"n1","forma":"Cuando","indices":[0],"categoria":"conjuncion","funcion_interna":null,"ambito":"intra_proposicional"}],"relaciones":[{"id":"r1","tipo":"subordinacion","subtipo":"temporal","proposiciones":["p2","p1"],"nexo":"n1","direccion":{"origen":"p2","destino":"p1"},"funcion":"cc_temporal"}],"metadatos":{"nivel":"medio","fases_activas":[0,1,2,3,4,5,6],"consejo_inicial":"La temporal va delante. En la principal, 'me quedé atónito' es semicopulativo — no desglosamos 'ante lo sucedido' aparte, va todo junto como Atributo compuesto."}}	Sí	{"tipo_oracion":"subordinada","subtipo":"temporal","nivel":"medio","num_proposiciones":2,"nexos":["Cuando"]}	"atónito ante lo sucedido" tratado como Atributo compuesto único (mismo criterio que "salió elegido gobernador" del documento original).
